Year,Team,Player,G,W,L,IP,ERA,FIP,WHIP,K%,BB%,HR/9,BABIP,V_R_ERA,V_R_WHIP,V_R_AVG,V_R_OBP,V_L_ERA,V_L_WHIP,V_L_AVG,V_L_OBP
2025,두산,김정우,18,0,0,21.0,3.86,4.77,1.67,12.6,8.7,0.43,0.338,3.00,1.50,0.283,0.370,5.19,1.85,0.333,0.386
2025,두산,이병헌,22,0,0,13.0,6.23,5.07,1.62,16.1,17.9,0.69,0.278,6.23,0.92,0.231,0.286,6.23,1.85,0.250,0.390
2025,두산,최준호,9,1,2,16.0,8.44,7.37,1.69,14.9,12.2,2.25,0.292,8.64,1.44,0.233,0.361,9.00,1.86,0.321,0.412
2025,두산,윤태호,10,0,1,17.1,6.75,3.91,1.21,21.9,6.8,1.04,0.292,6.75,1.29,0.270,0.308,7.36,1.23,0.231,0.300
2025,두산,김유성,7,0,2,17.1,8.83,6.13,1.79,25.9,16.5,1.56,0.333,11.42,1.85,0.257,0.409,6.75,1.63,0.267,0.405
2025,두산,김명신,8,0,0,8.1,5.40,3.65,1.92,14.0,7.0,0.00,0.394,8.31,2.08,0.381,0.417,3.00,2.00,0.308,0.400
2025,두산,김호준,19,0,1,10.2,6.75,6.61,1.97,13.0,13.0,1.69,0.316,6.00,1.33,0.111,0.333,4.91,1.77,0.313,0.371
2025,두산,최지강,39,2,5,32.2,6.34,3.47,1.65,25.5,8.7,0.83,0.422,5.09,1.42,0.290,0.355,6.14,1.64,0.281,0.369
2025,두산,고효준,45,2,1,21.0,6.86,6.06,2.05,18.3,13.5,1.71,0.391,12.27,2.18,0.313,0.421,5.40,1.92,0.318,0.423
2025,한화,폰세,29,17,1,180.2,1.89,1.92,0.94,36.2,5.9,0.50,0.307,2.37,0.92,0.192,0.246,1.47,0.95,0.201,0.258
2025,한화,와이스,30,16,5,178.2,2.87,3.12,1.02,28.6,7.7,0.66,0.264,2.93,0.93,0.189,0.258,3.05,1.09,0.198,0.281
2025,한화,류현진,26,9,7,139.1,3.23,3.37,1.21,21.3,4.4,0.78,0.325,4.09,1.36,0.285,0.329,2.23,1.09,0.251,0.279
2025,한화,한승혁,71,3,3,64.0,2.25,4.09,1.23,19.7,8.6,0.56,0.289,2.16,1.32,0.248,0.312,2.54,1.24,0.238,0.353
2025,한화,문동주,24,11,5,121.0,4.02,2.72,1.18,26.9,6.2,0.52,0.326,4.02,1.08,0.232,0.279,3.73,1.28,0.250,0.307
2025,한화,김서현,69,2,4,66.0,3.14,3.70,1.26,25.4,11.1,0.55,0.298,2.97,1.12,0.214,0.325,3.27,1.33,0.230,0.329
2025,한화,김범수,73,2,1,48.0,2.25,3.45,1.08,21.0,11.3,0.00,0.238,4.60,1.21,0.196,0.303,1.15,0.99,0.176,0.276
2025,한화,조동욱,68,3,3,60.0,4.05,4.63,1.77,15.2,10.2,0.60,0.363,5.40,2.58,0.388,0.462,3.70,1.45,0.272,0.356
2025,한화,정우주,51,3,0,53.2,2.85,3.28,1.02,36.0,9.2,1.01,0.264,3.86,0.96,0.183,0.274,1.66,1.11,0.169,0.309
2025,한화,김종수,63,4,5,63.2,3.25,4.55,1.46,20.9,12.8,0.71,0.299,3.78,1.56,0.236,0.368,2.12,1.25,0.238,0.308
2025,한화,박상원,74,4,3,66.2,4.19,4.07,1.32,17.7,7.1,0.54,0.307,4.91,1.42,0.282,0.342,2.79,1.07,0.206,0.292
2025,한화,황준서,23,2,8,56.0,5.30,4.46,1.43,23.6,10.7,1.13,0.313,3.86,1.10,0.207,0.290,7.59,1.92,0.330,0.406
2025,한화,윤산흠,12,0,0,16.2,3.78,3.62,1.26,23.3,6.8,0.54,0.319,4.32,0.96,0.250,0.314,3.38,1.50,0.226,0.333
2025,한화,김기중,5,0,1,14.2,3.07,4.08,1.50,12.1,9.1,0.00,0.314,1.35,1.65,0.259,0.344,5.40,1.50,0.308,0.379
2025,한화,이태양,14,0,1,11.1,3.97,3.85,1.68,15.7,9.8,0.00,0.389,3.60,2.20,0.364,0.462,4.50,1.17,0.286,0.318
2025,한화,박준영,1,0,0,5.0,3.60,6.26,1.80,12.5,25.0,0.00,0.200,5.40,1.50,0.100,0.333,0.00,2.40,0.286,0.444
2025,한화,권민규,5,0,0,5.1,8.44,8.47,2.25,14.3,25.0,1.69,0.250,9.00,5.00,0.400,0.625,9.00,1.75,0.214,0.368
2025,한화,강재민,4,0,0,4.0,9.00,6.17,2.00,25.0,10.0,2.25,0.455,0.00,2.25,0.429,0.429,13.50,1.88,0.333,0.462
2025,한화,원종혁,2,0,0,1.2,16.20,6.26,3.00,10.0,20.0,5.40,0.200,0.00,4.50,0.333,0.600,40.50,3.00,0.667,0.500
2025,한화,주현상,48,5,2,41.2,5.18,4.98,1.66,19.2,5.2,1.73,0.384,4.76,1.72,0.347,0.377,5.82,1.71,0.319,0.388
2025,한화,김승일,5,0,0,2.2,23.63,12.77,2.25,17.6,17.6,3.38,0.286,9.00,2.00,0.000,0.400,32.40,2.40,0.375,0.500
2025,한화,엄상백,28,2,7,80.2,6.58,5.37,1.79,19.5,10.0,1.45,0.383,6.75,1.73,0.329,0.399,6.64,1.81,0.314,0.408
2025,한화,이상규,5,0,1,9.0,8.00,3.95,2.22,10.6,8.5,0.00,0.421,11.25,1.50,0.278,0.316,5.40,2.80,0.440,0.500
2025,키움,알칸타라,19,8,4,121.0,3.27,3.47,1.12,18.7,2.0,0.82,0.309,3.04,1.07,0.256,0.281,3.27,1.12,0.269,0.285
2025,키움,로젠버그,13,4,4,75.1,3.23,3.29,1.17,25.0,7.8,0.60,0.286,2.06,1.03,0.197,0.280,5.16,1.35,0.240,0.301
2025,키움,하영민,28,7,14,153.1,4.99,3.79,1.37,20.0,6.1,0.76,0.336,5.27,1.37,0.271,0.330,4.54,1.31,0.278,0.324
2025,키움,주승우,42,2,2,44.0,2.45,5.21,1.18,19.6,9.5,1.43,0.241,3.20,1.27,0.221,0.321,2.05,1.09,0.220,0.289
2025,키움,오석주,53,2,1,58.1,3.70,4.82,1.39,17.5,11.5,0.62,0.291,5.04,1.55,0.266,0.388,2.39,1.14,0.215,0.299
2025,키움,메르세데스,8,3,3,46.1,4.47,3.61,1.36,20.8,4.6,0.97,0.350,3.00,1.58,0.296,0.352,5.82,1.11,0.286,0.286
2025,키움,웰스,4,1,1,20.0,3.15,3.04,1.20,18.8,7.1,0.00,0.290,4.26,1.26,0.208,0.304,0.00,1.05,0.269,0.269
2025,키움,윤석원,37,1,1,37.1,5.54,4.18,1.42,16.9,7.5,0.72,0.330,3.44,1.15,0.238,0.304,7.13,1.81,0.338,0.388
2025,키움,손힘찬,4,0,0,4.0,11.25,5.42,2.25,18.2,18.2,0.00,0.385,21.60,2.40,0.286,0.500,3.86,2.14,0.300,0.417
2025,키움,김동규,9,0,0,8.0,6.75,8.17,3.00,20.4,22.4,2.25,0.423,5.79,2.36,0.318,0.423,6.00,4.33,0.400,0.591
2025,키움,김성민,29,0,3,25.0,4.68,4.77,1.52,15.9,11.5,0.36,0.324,6.97,1.65,0.278,0.413,2.08,1.38,0.265,0.368
2025,키움,정현우,18,3,7,81.1,5.86,5.52,1.72,14.3,12.5,0.89,0.318,5.10,1.77,0.279,0.392,6.56,1.77,0.306,0.382
2025,키움,정세영,4,0,1,2.2,16.88,6.84,4.88,9.1,18.2,0.00,0.563,21.60,4.80,0.455,0.571,9.00,4.00,0.500,0.571
2025,키움,김선기,44,1,7,78.0,5.65,5.79,1.83,11.3,12.3,0.69,0.332,4.23,1.93,0.299,0.430,7.32,1.71,0.301,0.376
2025,키움,손현기,2,0,0,3.0,15.00,14.52,3.33,5.6,33.3,3.00,0.333,0.00,3.00,0.286,0.615,40.50,1.50,0.333,0.333
2025,키움,이강준,29,0,3,24.2,6.57,5.20,1.86,21.8,14.3,1.10,0.377,9.00,2.00,0.304,0.448,2.38,1.68,0.267,0.365
